"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","76","testcases.buyer","test_001_cart","TestAddCart","","","产品id为空",""
"passed","Sun Mar 13 17:24:31 CST 2022","Sun Mar 13 17:24:31 CST 2022","32","testcases.seller","test_500_add_goods","TestAddGoods","","","市场价格为空",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","103","testcases.buyer","test_001_cart","TestBuyNow","","","num超过库存",""
"passed","Sun Mar 13 17:24:32 CST 2022","Sun Mar 13 17:24:32 CST 2022","63","testcases.seller","test_500_add_goods","TestAddGoods","","","成本价格为空",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","70","testcases.buyer","test_001_cart","TestBuyNow","","","num为0",""
"passed","Sun Mar 13 17:24:26 CST 2022","Sun Mar 13 17:24:28 CST 2022","1952","testcases.process","test_999_order","TestOrderProcess","","","卖家收款接口",""
"failed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","79","testcases.buyer","test_001_cart","TestBuyNow","","","产品已下架",""
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","61","testcases.buyer","test_001_cart","TestAddCart","","","产品id不存在",""
"failed","Sun Mar 13 17:24:31 CST 2022","Sun Mar 13 17:24:31 CST 2022","163","testcases.seller","test_500_add_goods","TestAddGoods","","","商品编号为空",""
"passed","Sun Mar 13 17:24:19 CST 2022","Sun Mar 13 17:24:19 CST 2022","227","testcases.process","test_999_order","TestOrderProcess","","","PC和CART",""
"failed","Sun Mar 13 17:24:32 CST 2022","Sun Mar 13 17:24:32 CST 2022","165","testcases.seller","test_500_add_goods","TestAddGoods","","","库存为空",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","61","testcases.buyer","test_002_create_trade","TestCreateTrade","","","way不是有效数据",""
"passed","Sun Mar 13 17:24:20 CST 2022","Sun Mar 13 17:24:20 CST 2022","245","testcases.process","test_999_order","TestOrderProcess","","","NATIVE和BUY_NOW",""
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","80","testcases.buyer","test_001_cart","TestAddCart","","","num为负数",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","65","testcases.buyer","test_002_create_trade","TestCreateTrade","","","way为空",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","91","testcases.buyer","test_001_cart","TestBuyNow","","","num为负数",""
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","74","testcases.buyer","test_001_cart","TestAddCart","","","num为0",""
"passed","Sun Mar 13 17:24:19 CST 2022","Sun Mar 13 17:24:19 CST 2022","199","testcases.process","test_999_order","TestOrderProcess","","","PC和BUY_NOW",""
"passed","Sun Mar 13 17:24:32 CST 2022","Sun Mar 13 17:24:32 CST 2022","72","testcases.seller","test_500_add_goods","TestAddGoods","","","图片为空",""
"failed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","53","testcases.buyer","test_001_cart","TestAddCart","","","产品已下架",""
"passed","Sun Mar 13 17:24:21 CST 2022","Sun Mar 13 17:24:21 CST 2022","212","testcases.process","test_999_order","TestOrderProcess","","","MINI和BUY_NOW",""
"passed","Sun Mar 13 17:24:21 CST 2022","Sun Mar 13 17:24:21 CST 2022","287","testcases.process","test_999_order","TestOrderProcess","","","REACT和CART",""
"passed","Sun Mar 13 17:24:19 CST 2022","Sun Mar 13 17:24:20 CST 2022","227","testcases.process","test_999_order","TestOrderProcess","","","WAP和CART",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","80","testcases.buyer","test_002_create_trade","TestCreateTrade","","","client不是有效数据",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","85","testcases.buyer","test_001_cart","TestBuyNow","","","num为空",""
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:18 CST 2022","82","testcases.buyer","test_001_cart","TestAddCart","","","num为空",""
"passed","Sun Mar 13 17:24:21 CST 2022","Sun Mar 13 17:24:21 CST 2022","299","testcases.process","test_999_order","TestOrderProcess","","","MINI和CART",""
"passed","Sun Mar 13 17:24:21 CST 2022","Sun Mar 13 17:24:24 CST 2022","2508","testcases.process","test_999_order","TestOrderProcess","","","卖家发货接口",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","59","testcases.buyer","test_001_cart","TestBuyNow","","","产品id不存在",""
"passed","Sun Mar 13 17:24:31 CST 2022","Sun Mar 13 17:24:31 CST 2022","62","testcases.seller","test_500_add_goods","TestAddGoods","","","商品名称为空",""
"passed","Sun Mar 13 17:24:24 CST 2022","Sun Mar 13 17:24:26 CST 2022","1812","testcases.process","test_999_order","TestOrderProcess","","","买家收货接口",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","65","testcases.buyer","test_002_create_trade","TestCreateTrade","","","client为空",""
"passed","Sun Mar 13 17:24:31 CST 2022","Sun Mar 13 17:24:32 CST 2022","64","testcases.seller","test_500_add_goods","TestAddGoods","","","商品价格为空",""
"passed","Sun Mar 13 17:24:17 CST 2022","Sun Mar 13 17:24:17 CST 2022","112","testcases.buyer","test_001_cart","TestAddCart","","","num超过库存",""
"passed","Sun Mar 13 17:24:20 CST 2022","Sun Mar 13 17:24:20 CST 2022","405","testcases.process","test_999_order","TestOrderProcess","","","NATIVE和CART",""
"passed","Sun Mar 13 17:24:32 CST 2022","Sun Mar 13 17:24:32 CST 2022","65","testcases.seller","test_500_add_goods","TestAddGoods","","","商品重量为空",""
"passed","Sun Mar 13 17:24:28 CST 2022","Sun Mar 13 17:24:31 CST 2022","3383","testcases.process","test_999_order","TestOrderProcess","","","买家评论接口",""
"passed","Sun Mar 13 17:24:18 CST 2022","Sun Mar 13 17:24:18 CST 2022","83","testcases.buyer","test_001_cart","TestBuyNow","","","产品id为空",""
